Line  OP    L     M
 0    JMP   0     1
 1    INC   0     7
 2    SIO   0     2
 3    STO   0     5
 4    LOD   0     5
 5    LOD   0     5
 6    LIT   0     1
 7    OPR   0     2  (ADD)
 8    OPR   0     4  (MUL)
 9    LIT   0     2
10    OPR   0     5  (DIV)
11    STO   0     6
12    LOD   0     6
13    SIO   0     1
14    LIT   0     0
15    STO   0     6
16    LOD   0     5
17    STO   0     4
18    LOD   0     4
19    LIT   0     0
20    OPR   0     12  (GTR)
21    JPC   0     31
22    LOD   0     6
23    LOD   0     4
24    OPR   0     2  (ADD)
25    STO   0     6
26    LOD   0     4
27    LIT   0     1
28    OPR   0     3  (SUB)
29    STO   0     4
30    JMP   0     18
31    LOD   0     6
32    SIO   0     1
33    SIO   0     3

                        pc    bp    sp     stack
Initial values          0     1     0     
 0    JMP   0     1     1     1     0     
 1    INC   0     7     2     1     7      0 0 0 0 0 0 0
 2    SIO   0     2     3     1     8      0 0 0 0 0 0 0 6
 3    STO   0     5     4     1     7      0 0 0 0 0 6 0
 4    LOD   0     5     5     1     8      0 0 0 0 0 6 0 6
 5    LOD   0     5     6     1     9      0 0 0 0 0 6 0 6 6
 6    LIT   0     1     7     1     10     0 0 0 0 0 6 0 6 6 1
 7    OPR   0     2     8     1     9      0 0 0 0 0 6 0 6 7
 8    OPR   0     4     9     1     8      0 0 0 0 0 6 0 42
 9    LIT   0     2     10    1     9      0 0 0 0 0 6 0 42 2
10    OPR   0     5     11    1     8      0 0 0 0 0 6 0 21
11    STO   0     6     12    1     7      0 0 0 0 0 6 21
12    LOD   0     6     13    1     8      0 0 0 0 0 6 21 21
13    SIO   0     1     14    1     7      0 0 0 0 0 6 21
14    LIT   0     0     15    1     8      0 0 0 0 0 6 21 0
15    STO   0     6     16    1     7      0 0 0 0 0 6 0
16    LOD   0     5     17    1     8      0 0 0 0 0 6 0 6
17    STO   0     4     18    1     7      0 0 0 0 6 6 0
18    LOD   0     4     19    1     8      0 0 0 0 6 6 0 6
19    LIT   0     0     20    1     9      0 0 0 0 6 6 0 6 0
20    OPR   0     12    21    1     8      0 0 0 0 6 6 0 1
21    JPC   0     31    22    1     7      0 0 0 0 6 6 0
22    LOD   0     6     23    1     8      0 0 0 0 6 6 0 0
23    LOD   0     4     24    1     9      0 0 0 0 6 6 0 0 6
24    OPR   0     2     25    1     8      0 0 0 0 6 6 0 6
25    STO   0     6     26    1     7      0 0 0 0 6 6 6
26    LOD   0     4     27    1     8      0 0 0 0 6 6 6 6
27    LIT   0     1     28    1     9      0 0 0 0 6 6 6 6 1
28    OPR   0     3     29    1     8      0 0 0 0 6 6 6 5
29    STO   0     4     30    1     7      0 0 0 0 5 6 6
30    JMP   0     18    18    1     7      0 0 0 0 5 6 6
18    LOD   0     4     19    1     8      0 0 0 0 5 6 6 5
19    LIT   0     0     20    1     9      0 0 0 0 5 6 6 5 0
20    OPR   0     12    21    1     8      0 0 0 0 5 6 6 1
21    JPC   0     31    22    1     7      0 0 0 0 5 6 6
22    LOD   0     6     23    1     8      0 0 0 0 5 6 6 6
23    LOD   0     4     24    1     9      0 0 0 0 5 6 6 6 5
24    OPR   0     2     25    1     8      0 0 0 0 5 6 6 11
25    STO   0     6     26    1     7      0 0 0 0 5 6 11
26    LOD   0     4     27    1     8      0 0 0 0 5 6 11 5
27    LIT   0     1     28    1     9      0 0 0 0 5 6 11 5 1
28    OPR   0     3     29    1     8      0 0 0 0 5 6 11 4
29    STO   0     4     30    1     7      0 0 0 0 4 6 11
30    JMP   0     18    18    1     7      0 0 0 0 4 6 11
18    LOD   0     4     19    1     8      0 0 0 0 4 6 11 4
19    LIT   0     0     20    1     9      0 0 0 0 4 6 11 4 0
20    OPR   0     12    21    1     8      0 0 0 0 4 6 11 1
21    JPC   0     31    22    1     7      0 0 0 0 4 6 11
22    LOD   0     6     23    1     8      0 0 0 0 4 6 11 11
23    LOD   0     4     24    1     9      0 0 0 0 4 6 11 11 4
24    OPR   0     2     25    1     8      0 0 0 0 4 6 11 15
25    STO   0     6     26    1     7      0 0 0 0 4 6 15
26    LOD   0     4     27    1     8      0 0 0 0 4 6 15 4
27    LIT   0     1     28    1     9      0 0 0 0 4 6 15 4 1
28    OPR   0     3     29    1     8      0 0 0 0 4 6 15 3
29    STO   0     4     30    1     7      0 0 0 0 3 6 15
30    JMP   0     18    18    1     7      0 0 0 0 3 6 15
18    LOD   0     4     19    1     8      0 0 0 0 3 6 15 3
19    LIT   0     0     20    1     9      0 0 0 0 3 6 15 3 0
20    OPR   0     12    21    1     8      0 0 0 0 3 6 15 1
21    JPC   0     31    22    1     7      0 0 0 0 3 6 15
22    LOD   0     6     23    1     8      0 0 0 0 3 6 15 15
23    LOD   0     4     24    1     9      0 0 0 0 3 6 15 15 3
24    OPR   0     2     25    1     8      0 0 0 0 3 6 15 18
25    STO   0     6     26    1     7      0 0 0 0 3 6 18
26    LOD   0     4     27    1     8      0 0 0 0 3 6 18 3
27    LIT   0     1     28    1     9      0 0 0 0 3 6 18 3 1
28    OPR   0     3     29    1     8      0 0 0 0 3 6 18 2
29    STO   0     4     30    1     7      0 0 0 0 2 6 18
30    JMP   0     18    18    1     7      0 0 0 0 2 6 18
18    LOD   0     4     19    1     8      0 0 0 0 2 6 18 2
19    LIT   0     0     20    1     9      0 0 0 0 2 6 18 2 0
20    OPR   0     12    21    1     8      0 0 0 0 2 6 18 1
21    JPC   0     31    22    1     7      0 0 0 0 2 6 18
22    LOD   0     6     23    1     8      0 0 0 0 2 6 18 18
23    LOD   0     4     24    1     9      0 0 0 0 2 6 18 18 2
24    OPR   0     2     25    1     8      0 0 0 0 2 6 18 20
25    STO   0     6     26    1     7      0 0 0 0 2 6 20
26    LOD   0     4     27    1     8      0 0 0 0 2 6 20 2
27    LIT   0     1     28    1     9      0 0 0 0 2 6 20 2 1
28    OPR   0     3     29    1     8      0 0 0 0 2 6 20 1
29    STO   0     4     30    1     7      0 0 0 0 1 6 20
30    JMP   0     18    18    1     7      0 0 0 0 1 6 20
18    LOD   0     4     19    1     8      0 0 0 0 1 6 20 1
19    LIT   0     0     20    1     9      0 0 0 0 1 6 20 1 0
20    OPR   0     12    21    1     8      0 0 0 0 1 6 20 1
21    JPC   0     31    22    1     7      0 0 0 0 1 6 20
22    LOD   0     6     23    1     8      0 0 0 0 1 6 20 20
23    LOD   0     4     24    1     9      0 0 0 0 1 6 20 20 1
24    OPR   0     2     25    1     8      0 0 0 0 1 6 20 21
25    STO   0     6     26    1     7      0 0 0 0 1 6 21
26    LOD   0     4     27    1     8      0 0 0 0 1 6 21 1
27    LIT   0     1     28    1     9      0 0 0 0 1 6 21 1 1
28    OPR   0     3     29    1     8      0 0 0 0 1 6 21 0
29    STO   0     4     30    1     7      0 0 0 0 0 6 21
30    JMP   0     18    18    1     7      0 0 0 0 0 6 21
18    LOD   0     4     19    1     8      0 0 0 0 0 6 21 0
19    LIT   0     0     20    1     9      0 0 0 0 0 6 21 0 0
20    OPR   0     12    21    1     8      0 0 0 0 0 6 21 0
21    JPC   0     31    31    1     7      0 0 0 0 0 6 21
31    LOD   0     6     32    1     8      0 0 0 0 0 6 21 21
32    SIO   0     1     33    1     7      0 0 0 0 0 6 21
33    SIO   0     3     
Successfully halted.
